pmid,pmcid,doi,title,journal,year,open_access_fulltext,named_drugs,holding_potentials,potency_values_in_tables,score,retrieval
29783906,PMC5967161,10.1177/1744806918778491,Bulleyaconitine A attenuates hyperexcitability of dorsal root ganglion neurons induced by spared nerve injury: The role of preferably blocking Nav1.7 and Nav1.3 channels.,Mol Pain,2018,True,"carbamazepine, lidocaine, mexiletine, tetrodotoxin",,0,8,read here
36499167,PMC9738487,10.3390/ijms232314842,Reversal of Peripheral Neuropathic Pain by the Small-Molecule Natural Product Narirutin via Block of Na<sub>v</sub>1.7 Voltage-Gated Sodium Channel.,Int J Mol Sci,2022,True,"lidocaine, pf-05089771, tetrodotoxin, veratridine",,0,8,read here
27164696,PMC4891212,10.1212/wnl.0000000000002721,Translational approach to address therapy in myotonia permanens due to a new SCN4A mutation.,Neurology,2016,True,"carbamazepine, flecainide, mexiletine",,2,8,read here
34076854,PMC8423960,10.1007/s12264-021-00709-5,Growth Differentiation Factor-15 Produces Analgesia by Inhibiting Tetrodotoxin-Resistant Nav1.8 Sodium Channel Activity in Rat Primary Sensory Neurons.,Neurosci Bull,2021,True,"amitriptyline, bupivacaine, lidocaine, tetrodotoxin",,0,8,read here
,PMC10682721,,News and views on ion channels in cancer: is cancer a channelopathy?,Front Pharmacol,2023,True,"lacosamide, lidocaine, pf-05089771",,2,8,read here
35453812,PMC9031228,10.3390/biology11040613,Kinetic Alterations in Resurgent Sodium Currents of Mutant Na<sub>v</sub>1.4 Channel in Two Patients Affected by Paramyotonia Congenita.,Biology (Basel),2022,True,"cannabidiol, lidocaine, ranolazine, tetrodotoxin",,0,8,read here
29847805,PMC6203318,10.1016/j.celrep.2018.04.109,Strong G-Protein-Mediated Inhibition of Sodium Channels.,Cell Rep,2018,True,"carbamazepine, phenytoin, tetrodotoxin",,2,8,read here
35179483,PMC8856652,10.7554/elife.73246,Cannabidiol activates neuronal Kv7 channels.,Elife,2022,True,"cannabidiol, tetrodotoxin","-50, -30",1,8,read here
41987259,PMC13196123,10.1186/s42238-026-00436-6,Electrophysiological modulation of pain‑related sodium channels by cannabinoids: a systematic review.,J Cannabis Res,2026,True,"cannabidiol, tetrodotoxin","-110, -100, -90, -80, -70, -16",0,7,read here
39835903,PMC11789019,10.1073/pnas.2416886122,"Nav1.8, an analgesic target for nonpsychotomimetic phytocannabinoids.",Proc Natl Acad Sci U S A,2025,True,"cannabidiol, lidocaine, tetrodotoxin",,1,7,read here
41251403,PMC12624754,10.1111/cts.70414,"Suzetrigine, a Non-Opioid Small-Molecule Analgesic: Mechanism of Action, Clinical, and Translational Science.",Clin Transl Sci,2025,True,"carbamazepine, lidocaine, tetrodotoxin",,1,7,read here
32641945,PMC6934949,10.22037/ijpr.2019.1100768,Calixmexitil: Calixarene-based Cluster of Mexiletine with Amplified Anti-myotonic Activity as A Novel Use-dependent Sodium Channel Blocker.,Iran J Pharm Res,2019,True,mexiletine,"-100, -20",2,7,read here
39958692,PMC11825515,10.3389/fphys.2025.1525836,Effects of Eleclazine (GS6615) on the proarrhythmic electrophysiological changes induced by myocardial stretch.,Front Physiol,2025,True,"flecainide, ranolazine",,3,7,read here
31470595,PMC6780087,10.3390/md17090510,Extremely Potent Block of Bacterial Voltage-Gated Sodium Channels by µ-Conotoxin PIIIA.,Mar Drugs,2019,True,"saxitoxin, tetrodotoxin","-120, -110, -10",0,7,read here
31805638,PMC6928743,10.3390/ijms20236058,3'-O-Methylorobol Inhibits the Voltage-Gated Sodium Channel Nav1.7 with Anti-Itch Efficacy in A Histamine-Dependent Itch Mouse Model.,Int J Mol Sci,2019,True,"riluzole, tetrodotoxin",,3,7,read here
35002728,PMC8740163,10.3389/fphar.2021.795455,Voltage-Gated Sodium Channel Modulation by a New Spider Toxin Ssp1a Isolated From an Australian Theraphosid.,Front Pharmacol,2021,True,"gs-458967, tetrodotoxin, veratridine",,1,7,read here
40263599,PMC12130229,10.1038/s44318-025-00438-9,Inherent fast inactivation particle of Nav channels as a new binding site for a neurotoxin.,EMBO J,2025,True,"saxitoxin, tetrodotoxin",,3,7,read here
37103349,PMC10142487,10.3390/md21040209,Historical Perspective of the Characterization of Conotoxins Targeting Voltage-Gated Sodium Channels.,Mar Drugs,2023,True,"saxitoxin, tetrodotoxin, veratridine",,1,7,read here
36779240,PMC9970842,10.4062/biomolther.2023.002,Tramadol as a Voltage-Gated Sodium Channel Blocker of Peripheral Sodium Channels Na<sub>v</sub>1.7 and Na<sub>v</sub>1.5.,Biomol Ther (Seoul),2023,True,"carbamazepine, lidocaine",,2,6,read here
40424150,PMC12146708,10.1073/pnas.2503570122,Modulation of human dorsal root ganglion neuron firing by the Nav1.8 inhibitor suzetrigine.,Proc Natl Acad Sci U S A,2025,True,"lidocaine, tetrodotoxin",,2,6,read here
40910013,PMC12405009,10.1584/jpestics.d25-023,Effect of capsaicin on voltage-gated sodium channels with &lt;i&gt;kdr&lt;/i&gt; mutation from German cockroaches (&lt;i&gt;Blattella germanica&lt;/i&gt;).,J Pestic Sci,2025,True,"saxitoxin, tetrodotoxin, veratridine",,0,6,read here
37531097,PMC10397059,10.1085/jgp.202213312,Cold and warmth intensify pain-linked sodium channel gating effects and persistent currents.,J Gen Physiol,2023,True,"lacosamide, lidocaine, tetrodotoxin",,0,6,read here
38263462,PMC10805714,10.1038/s42003-024-05781-x,Functionally-selective inhibition of threshold sodium currents and excitability in dorsal root ganglion neurons by cannabinol.,Commun Biol,2024,True,"cannabidiol, phenytoin, tetrodotoxin",,0,6,read here
42064817,PMC13125104,10.3389/fphar.2026.1747856,The underlying mechanism of scorpion venom peptide BmK AS in reducing epilepsy seizures: mediated through dual modulation of Nav1.6 and the inflammasome pathway.,Front Pharmacol,2026,True,"carbamazepine, oxcarbazepine, valproate",,0,6,read here
41441615,PMC12737659,10.3390/toxins17120579,"Ion Channel-Targeting Toxins: Structural Mechanisms of Activation, Inhibition, and Therapeutic Potential.",Toxins (Basel),2025,True,"saxitoxin, tetrodotoxin",,2,6,read here
37122213,PMC10150225,10.1098/rstb.2022.0162,Feedback contributions to excitation-contraction coupling in native functioning striated muscle.,Philos Trans R Soc Lond B Biol Sci,2023,True,"flecainide, mexiletine, tetrodotoxin",,0,6,read here
34643236,PMC8589445,10.1042/bst20200604,Ca2+-dependent modulation of voltage-gated myocyte sodium channels.,Biochem Soc Trans,2021,True,"flecainide, mexiletine, tetrodotoxin",,0,6,read here
34347027,PMC8348240,10.1085/jgp.202112891,Conformations of voltage-sensing domain III differentially define NaV channel closed- and open-state inactivation.,J Gen Physiol,2021,True,"lidocaine, mexiletine, tetrodotoxin",,0,6,read here
31160624,PMC6546692,10.1038/s41598-019-44564-x,Closed and open state dependent block of potassium channels cause opposing effects on excitability - a computational approach.,Sci Rep,2019,True,"bupivacaine, saxitoxin, tetrodotoxin",,0,6,read here
22403541,PMC3279704,10.3389/fphar.2012.00017,Molecular Insights into the Local Anesthetic Receptor within Voltage-Gated Sodium Channels Using Hydroxylated Analogs of Mexiletine.,Front Pharmacol,2012,True,"flecainide, lidocaine, mexiletine",,0,6,read here
27806967,PMC5210368,10.1161/jaha.116.004050,Neuronal Nav1.8 Channels as a Novel Therapeutic Target of Acute Atrial Fibrillation Prevention.,J Am Heart Assoc,2016,True,"lidocaine, quinidine, tetrodotoxin",,0,6,read here
23008436,PMC3457692,10.1085/jgp.201210853,Use-dependent block of the voltage-gated Na(+) channel by tetrodotoxin and saxitoxin: effect of pore mutations that change ionic selectivity.,J Gen Physiol,2012,True,"lidocaine, saxitoxin, tetrodotoxin",,0,6,read here
36441479,PMC9899197,10.1007/s12035-022-03112-x,A Push-Pull Mechanism Between PRRT2 and β4-subunit Differentially Regulates Membrane Exposure and Biophysical Properties of NaV1.2 Sodium Channels.,Mol Neurobiol,2023,True,"carbamazepine, oxcarbazepine, phenytoin",,0,6,read here
30009404,PMC6046646,10.14814/phy2.13787,Interventricular differences in sodium current and its potential role in Brugada syndrome.,Physiol Rep,2018,True,"flecainide, ranolazine, tetrodotoxin",,0,6,read here
30180777,PMC6125851,10.1177/1744806918797243,Mechanisms for therapeutic effect of bulleyaconitine A on chronic pain.,Mol Pain,2018,True,tetrodotoxin,,4,6,read here
33430134,PMC7826575,10.3390/biomedicines9010051,Changes in Resurgent Sodium Current Contribute to the Hyperexcitability of Muscles in Patients with Paramyotonia Congenita.,Biomedicines,2021,True,"lidocaine, ranolazine, tetrodotoxin",,0,6,read here
23801963,PMC3689222,10.3389/fphar.2013.00078,Proton-dependent inhibition of the cardiac sodium channel Nav1.5 by ranolazine.,Front Pharmacol,2013,True,"lacosamide, ranolazine, tetrodotoxin",,0,6,read here
39260690,PMC11470524,10.1016/j.jbc.2024.107757,A venom peptide-induced Na&lt;sub&gt;V&lt;/sub&gt; channel modulation mechanism involving the interplay between fixed channel charges and ionic gradients.,J Biol Chem,2024,True,"tetrodotoxin, veratridine",,1,5,read here
35662692,PMC9160825,10.3389/fphar.2022.846992,Structural and Functional Characterization of a Novel Scorpion Toxin that Inhibits Na<sub>V</sub>1.8 via Interactions With the DI Voltage Sensor and DII Pore Module.,Front Pharmacol,2022,True,"cannabidiol, tetrodotoxin",,1,5,read here
26257653,PMC4513211,10.3389/fphar.2015.00155,Inhibition of voltage-gated sodium channels by sumatriptan bioisosteres.,Front Pharmacol,2015,True,mexiletine,"-160, -150, -120, -30, -20",0,5,read here
35076394,PMC8824471,10.7554/elife.70173,Intrinsic mechanisms in the gating of resurgent Na<sup>+</sup> currents.,Elife,2022,True,tetrodotoxin,"-90, -60, -45, -30, -15, -10",0,5,read here
31158225,PMC6564045,10.1371/journal.pntd.0007432,Molecular evidence of sequential evolution of DDT- and pyrethroid-resistant sodium channel in Aedes aegypti.,PLoS Negl Trop Dis,2019,True,tetrodotoxin,"-120, -100, -10",0,5,read here
32211871,PMC7201882,10.1085/jgp.201912489,Action potentials in Xenopus oocytes triggered by blue light.,J Gen Physiol,2020,True,tetrodotoxin,,3,5,read here
31316182,PMC7471454,10.1038/s41401-019-0267-z,Discovery of aryl sulfonamide-selective Nav1.7 inhibitors with a highly hydrophobic ethanoanthracene core.,Acta Pharmacol Sin,2020,True,"amitriptyline, pf-05089771",,1,5,read here
33089780,PMC7641581,10.7554/elife.58593,Cannabidiol interactions with voltage-gated sodium channels.,Elife,2020,True,"cannabidiol, phenytoin",,1,5,read here
40830395,PMC12365293,10.1038/s41598-025-15280-6,Sevoflurane inhibition of the developmentally expressed neuronal sodium channel Na&lt;sub&gt;v&lt;/sub&gt;1.3.,Sci Rep,2025,True,"tetrodotoxin, veratridine",,0,4,read here
41276652,PMC12749341,10.1038/s42003-025-09182-6,Dual-action salivary peptide drives black fly feeding efficiency.,Commun Biol,2025,True,tetrodotoxin,-80,2,4,read here
40592969,PMC12219564,10.1038/s41598-025-05784-6,Investigation on the phenytoin sodium channel-blocker effect in PDT of MDA MB 231 breast cancer using a positively charged PS.,Sci Rep,2025,True,"lidocaine, phenytoin",,0,4,read here
39125637,PMC11311446,10.3390/ijms25158069,"Crosstalk among WEE1 Kinase, AKT, and GSK3 in Nav1.2 Channelosome Regulation.",Int J Mol Sci,2024,True,,,4,4,read here
40048808,PMC13095461,10.1016/j.molpha.2025.100017,Ion channels and G protein-coupled receptors: Cannabidiol actions on disorders of excitability and synaptic excitatory-inhibitory ratio.,Mol Pharmacol,2025,True,"cannabidiol, tetrodotoxin",,0,4,read here
35413129,PMC9325523,10.1113/jp283055,Non-canonical endogenous expression of voltage-gated sodium channel Na<sub>V</sub> 1.7 subtype by the TE671 rhabdomyosarcoma cell line.,J Physiol,2022,True,"phenytoin, tetrodotoxin",,0,4,read here
37396397,PMC10311640,10.3389/fncir.2023.1185095,The volatile anesthetic isoflurane differentially inhibits voltage-gated sodium channel currents between pyramidal and parvalbumin neurons in the prefrontal cortex.,Front Neural Circuits,2023,True,"tetrodotoxin, veratridine",,0,4,read here
33435511,PMC7827714,10.3390/ijms22020621,"Effectiveness of Columbianadin, a Bioactive Coumarin Derivative, in Perturbing Transient and Persistent <i>I</i><sub>Na</sub>.",Int J Mol Sci,2021,True,"ranolazine, tetrodotoxin",,0,4,read here
37894777,PMC10606416,10.3390/ijms242015089,"Unravelling Novel <i>SCN5A</i> Mutations Linked to Brugada Syndrome: Functional, Structural, and Genetic Insights.",Int J Mol Sci,2023,True,"mexiletine, quinidine",,0,4,read here
34721031,PMC8551724,10.3389/fphar.2021.742508,Possible Interactions of Extracellular Loop IVP2-S6 With Voltage-Sensing Domain III in Cardiac Sodium Channel.,Front Pharmacol,2021,True,"flecainide, quinidine",-100,0,4,read here
40719753,PMC12661287,10.1111/epi.18560,Electrical stimulation of stem cell-derived human neural networks for evaluating anti-seizure medications.,Epilepsia,2025,True,"lamotrigine, phenytoin",,0,4,read here
36668828,PMC9863223,10.3390/toxins15010008,The Sea Anemone Neurotoxins Modulating Sodium Channels: An Insight at Structure and Functional Activity after Four Decades of Investigation.,Toxins (Basel),2022,True,tetrodotoxin,,2,4,read here
33233411,PMC7700137,10.3390/ijms21228816,"Inhibitory Effectiveness of Gomisin A, a Dibenzocyclooctadiene Lignan Isolated from <i>Schizandra chinensis</i>, on the Amplitude and Gating of Voltage-Gated Na<sup>+</sup> Current",Int J Mol Sci,2020,True,"ranolazine, tetrodotoxin",,0,4,read here
31730442,PMC6858687,10.1186/s10194-019-1056-2,Late sodium current blocker GS967 inhibits persistent currents induced by familial hemiplegic migraine type 3 mutations of the SCN1A gene.,J Headache Pain,2019,True,"gs-458967, ranolazine",-85,0,4,read here
28621020,PMC5811987,10.1113/jp274693,Conservation of alternative splicing in sodium channels reveals evolutionary focus on release from inactivation and structural insights into gating.,J Physiol,2017,True,"carbamazepine, phenytoin",,0,4,read here
38127314,PMC10737443,10.1085/jgp.202313368,Elucidating molecular mechanisms of protoxin-II state-specific binding to the human NaV1.7 channel.,J Gen Physiol,2024,True,lidocaine,,2,4,read here
32038227,PMC6988797,10.3389/fphar.2019.01367,Antiarrhythmic Properties of Ranolazine: Inhibition of Atrial Fibrillation Associated TASK-1 Potassium Channels.,Front Pharmacol,2019,True,ranolazine,-80,2,4,read here
32569350,PMC7478868,10.1085/jgp.202012595,"E1784K, the most common Brugada syndrome and long-QT syndrome type 3 mutant, disrupts sodium channel inactivation through two separate mechanisms.",J Gen Physiol,2020,True,"flecainide, tetrodotoxin",,0,4,read here
31877994,PMC6982048,10.3390/ijms21010117,Characterization of the Inhibitory Effect of Gastrodigenin and Gastrodin on M-type K<sup>+</sup> Currents in Pituitary Cells and Hippocampal Neurons.,Int J Mol Sci,2019,True,"quinidine, tetrodotoxin",,0,4,read here
41516269,PMC12785892,10.3390/ijms27010395,"Special Issue ""Ion Channels as a Therapeutic Target: Drug Design and Pharmacological Investigation 2.0.",Int J Mol Sci,2025,True,lidocaine,,1,3,read here
34519427,PMC9293070,10.1002/cmdc.202100496,Bioisosteric Modification of To042: Synthesis and Evaluation of Promising Use-Dependent Inhibitors of Voltage-Gated Sodium Channels.,ChemMedChem,2021,True,mexiletine,,1,3,read here
35689251,PMC9185959,10.1186/s42238-022-00136-x,"A nutraceutical product, extracted from Cannabis sativa, modulates voltage-gated sodium channel function.",J Cannabis Res,2022,True,cannabidiol,,1,3,read here
39042091,PMC11270453,10.1085/jgp.202413563,ω-Grammotoxin-SIA inhibits voltage-gated Na+ channel currents.,J Gen Physiol,2024,True,tetrodotoxin,,1,3,read here
38495220,PMC10941285,10.1021/acsptsci.3c00308,Symmetrical Bispyridinium Compounds Act as Open Channel Blockers of Cation-Selective Ion Channels.,ACS Pharmacol Transl Sci,2024,True,lidocaine,,1,3,read here
40758065,PMC7618026,10.1085/jgp.202513769,Voltage-sensor gating charge interactions bimodally regulate voltage dependence and kinetics of calcium channel activation.,J Gen Physiol,2025,True,,"-120, -80",0,3,read here
33808667,PMC8003485,10.3390/molecules26061716,Synthesis and Evaluation of Novel α-Aminoamides Containing Benzoheterocyclic Moiety for the Treatment of Pain.,Molecules,2021,True,tetrodotoxin,,1,3,read here
39057947,PMC11281729,10.3390/toxins16070307,Shining a Light on Venom-Peptide Receptors: Venom Peptides as Targeted Agents for In Vivo Molecular Imaging.,Toxins (Basel),2024,True,tetrodotoxin,,1,3,read here
25390654,PMC4229128,10.1371/journal.pone.0112194,Pyrethroids differentially alter voltage-gated sodium channels from the honeybee central olfactory neurons.,PLoS One,2014,True,tetrodotoxin,,1,3,read here
23139844,PMC3489664,10.1371/journal.pone.0049384,Sigma-1 receptor agonists directly inhibit Nav1.2/1.4 channels.,PLoS One,2012,True,lidocaine,,1,3,read here
35321323,PMC8936808,10.3389/fphar.2022.865353,Promising Antioxidative Effect of Berberine in Cardiovascular Diseases.,Front Pharmacol,2022,True,cannabidiol,,1,3,read here
41003497,PMC12473925,10.3390/toxins17090432,Modification of Closed-State Inactivation in Voltage-Gated Sodium Channel Na&lt;sub&gt;v&lt;/sub&gt;1.7 by Two Novel Arachnid Toxins.,Toxins (Basel),2025,True,lacosamide,,0,2,read here
36550597,PMC9829885,10.1177/17448069221150138,"Polysorbate 80 blocked a peripheral sodium channel, Na<sub>v</sub>1.7, and reduced neuronal excitability.",Mol Pain,2023,True,tetrodotoxin,,0,2,read here
42346804,PMC13301399,10.3390/md24060219,The Potential and Prospects of Marine Drugs in Intervening Nerve-Tumor Crosstalk.,Mar Drugs,2026,True,tetrodotoxin,,0,2,read here
39237523,PMC11377542,10.1038/s41467-024-52061-7,An artificial intelligence accelerated virtual screening platform for drug discovery.,Nat Commun,2024,True,,,2,2,read here
36891145,PMC9986306,10.3389/fphys.2023.1081186,Beyond CBD: Inhibitory effects of lesser studied phytocannabinoids on human voltage-gated sodium channels.,Front Physiol,2023,True,cannabidiol,,0,2,read here
40710367,PMC12293676,10.3390/cells14141114,"Therapeutic Potential of Calcium Channel Blockers in Neuropsychiatric, Endocrine and Pain Disorders.",Cells,2025,True,lidocaine,,0,2,read here
39996763,PMC11853998,10.3390/cells14040291,Differential Regulation of Nav1.1 and SCN1A Disease Mutant Sodium Current Properties by Fibroblast Growth Factor Homologous Factors.,Cells,2025,True,phenytoin,,0,2,read here
35406789,PMC8998058,10.3390/cells11071225,Functional Voltage-Gated Sodium Channels Are Present in the Human B Cell Membrane.,Cells,2022,True,tetrodotoxin,,0,2,read here
38547067,PMC10998578,10.1073/pnas.2309000121,Brainstem depolarization-induced lethal apnea associated with gain-of-function <i>SCN1A</i><sup>L263V</sup> is prevented by sodium channel blockade.,Proc Natl Acad Sci U S A,2024,True,carbamazepine,,0,2,read here
34357973,PMC8310189,10.3390/toxins13070501,"Identification and Characterization of Novel Proteins from Arizona Bark Scorpion Venom That Inhibit Nav1.8, a Voltage-Gated Sodium Channel Regulator of Pain Signaling.",Toxins (Basel),2021,True,tetrodotoxin,,0,2,read here
36354758,PMC10953345,10.1113/jp283085,Cardiac sodium channel complexes and arrhythmia: structural and functional roles of the β1 and β3 subunits.,J Physiol,2023,True,tetrodotoxin,,0,2,read here
,PMC6585610,10.1002/jcp.27251,Endotoxin modulates the electrophysiological characteristics of human embryonic stem cell‐differentiated cardiomyocytes,J Cell Physiol,2018,True,tetrodotoxin,,0,2,read here
36780532,PMC9974506,10.1073/pnas.2218948120,A thermal receptor for nonvisual sunlight detection in myriapods.,Proc Natl Acad Sci U S A,2023,True,,,2,2,read here
37043561,PMC10103707,10.1085/jgp.202213255,"PI(4,5)P2 regulates the gating of NaV1.4 channels.",J Gen Physiol,2023,True,tetrodotoxin,,0,2,read here
35002718,PMC8740778,10.3389/fphar.2021.786078,Translational Pharmacokinetic-Pharmacodynamic Modeling of NaV1.7 Inhibitor MK-2075 to Inform Human Efficacious Dose.,Front Pharmacol,2021,True,carbamazepine,,0,2,read here
36944081,PMC10038838,10.1085/jgp.202213300,Differential regulation of cardiac sodium channels by intracellular fibroblast growth factors.,J Gen Physiol,2023,True,tetrodotoxin,,0,2,read here
,,10.1101/2024.11.04.621342,Volatile anaesthetics modulate voltage-gated sodium channel function at a site critical for gating,,2024,True,,,0,1,closed access: please retrieve
41116071,PMC12714832,10.1038/s44319-025-00606-2,A proton-gated channel identified in the centipede antenna.,EMBO Rep,2025,True,,,1,1,read here
39206821,PMC11516162,10.1002/advs.202405432,A Novel Antigen Design Strategy to Isolate Single-Domain Antibodies that Target Human Nav1.7 and Reduce Pain in Animal Models.,Adv Sci (Weinh),2024,True,,,1,1,read here
,,10.1101/2023.10.23.563088,Nonspecific membrane bilayer perturbations by ivermectin underlie SARS-CoV-2 in vitro activity,,2023,True,,,0,1,closed access: please retrieve
,,10.21203/rs.3.rs-1585258/v1,A Push-pull Mechanism Between Prrt2 and B 4 Differentially Regulates Membrane Exposure and Biophysical Properties of Nav1.2 Sodium Channels,,2022,True,,,0,1,closed access: please retrieve
42141755,PMC13270922,10.1152/ajpcell.00239.2026,Discovery of Kv3.1 channel inhibitors reveals VU0521426 as a state-dependent inactivator preferentially active against pathogenic gain-of-function mutants.,Am J Physiol Cell Physiol,2026,False,,,0,1,closed access: please retrieve
39322410,PMC11585256,10.1124/molpharm.124.000944,State-Dependent Inhibition of Nav1.8 Sodium Channels by VX-150 and VX-548.,Mol Pharmacol,2024,False,,,0,1,closed access: please retrieve
40294084,PMC12036950,10.1085/jgp.202513778,"Sensory neuron sodium channels as pain targets; from cocaine to Journavx (VX-548, suzetrigine).",J Gen Physiol,2025,False,,,0,1,closed access: please retrieve
42218117,PMC13271011,10.1113/jp290574,Functional role of Nav1.8 channels in action potentials of mouse CGRP-lineage dorsal root ganglion neurons.,J Physiol,2026,False,,,0,1,closed access: please retrieve
40518131,PMC12862858,10.1111/bph.70080,Defining the polycystin pharmacophore through high-throughput screening and computational biophysics.,Br J Pharmacol,2025,False,,,0,1,closed access: please retrieve
40233889,PMC12208624,10.1016/j.cbpc.2025.110205,Roles of funny HCN.,Comp Biochem Physiol C Toxicol Pharmacol,2025,False,,,0,1,closed access: please retrieve
37633639,,10.1016/j.fct.2023.113992,The fungicide tebuconazole modulates the sodium current of human Na&lt;sub&gt;V&lt;/sub&gt;1.5 channels expressed in HEK293 cells.,Food Chem Toxicol,2023,False,,,0,1,closed access: please retrieve
32882214,,10.1016/j.ejphar.2020.173532,Norquetiapine blocks the human cardiac sodium channel Na<sub>v</sub>1.5 in a state-dependent manner.,Eur J Pharmacol,2020,False,,,0,1,closed access: please retrieve
36001977,PMC9523973,10.1016/j.celrep.2022.111248,Targeting the tamoxifen receptor within sodium channels to block osteoarthritic pain.,Cell Rep,2022,False,,,0,1,closed access: please retrieve
38743485,PMC11250678,10.1113/jp286538,Role of Na&lt;sub&gt;V&lt;/sub&gt;1.7 in postganglionic sympathetic nerve function in human and guinea-pig arteries.,J Physiol,2024,False,,,0,1,closed access: please retrieve
39820972,PMC11740781,10.1085/jgp.202413669,The differential impacts of equivalent gating-charge mutations in voltage-gated sodium channels.,J Gen Physiol,2025,False,,,0,1,closed access: please retrieve
36460339,PMC9976794,10.1124/jpet.122.001407,Protein 14-3-3 Influences the Response of the Cardiac Sodium Channel Na&lt;sub&gt;v&lt;/sub&gt;1.5 to Antiarrhythmic Drugs.,J Pharmacol Exp Ther,2023,False,,,0,1,closed access: please retrieve
36272554,PMC10583761,10.1016/j.yjmcc.2022.10.003,Impaired Ca<sub>V</sub>1.2 inactivation reduces the efficacy of calcium channel blockers in the treatment of LQT8.,J Mol Cell Cardiol,2022,False,,,0,1,closed access: please retrieve
36092147,PMC9384491,10.1039/d2md00081d,Inhibition of Na<sub>V</sub>1.7: the possibility of ideal analgesics.,RSC Med Chem,2022,False,,,0,1,closed access: please retrieve
35297036,PMC13012276,10.1111/bph.15833,Inhibition of sodium conductance by cannabigerol contributes to a reduction of dorsal root ganglion neuron excitability.,Br J Pharmacol,2022,False,,,0,1,closed access: please retrieve
34131037,PMC8318087,10.1523/jneurosci.3216-20.2021,Cannabidiol Inhibition of Murine Primary Nociceptors: Tight Binding to Slow Inactivated States of Na<sub>v</sub>1.8 Channels.,J Neurosci,2021,False,,,0,1,closed access: please retrieve
34634134,PMC12862787,10.1111/bph.15686,Role of Na&lt;sub&gt;V&lt;/sub&gt; 1.7 in action potential conduction along human bronchial vagal afferent C-fibres.,Br J Pharmacol,2022,False,,,0,1,closed access: please retrieve
33086288,PMC9359086,10.1097/j.pain.0000000000002112,Antinociceptive properties of an isoform-selective inhibitor of Nav1.7 derived from saxitoxin in mouse models of pain.,Pain,2021,False,,,0,1,closed access: please retrieve
36038266,PMC9661527,10.1515/hsz-2022-0194,Extracellular hemin is a reverse use-dependent gating modifier of cardiac voltage-gated Na<sup>+</sup> channels.,Biol Chem,2022,False,,,0,1,closed access: please retrieve
37329181,PMC10529833,10.1111/epi.17687,Dysfunctional sodium channel kinetics as a novel epilepsy mechanism in chromosome 15q11-q13 duplication syndrome.,Epilepsia,2023,False,,,0,1,closed access: please retrieve
34103689,PMC8285378,10.1038/s41401-021-00682-9,Inhibition of Nav1.7 channel by a novel blocker QLS-81 for alleviation of neuropathic pain.,Acta Pharmacol Sin,2021,False,,,0,1,closed access: please retrieve
29950616,PMC6289357,10.1038/s41401-018-0065-z,Veratridine modifies the gating of human voltage-gated sodium channel Nav1.7.,Acta Pharmacol Sin,2018,False,,,0,1,closed access: please retrieve
32193331,PMC7237866,10.1124/mol.119.118380,Lidocaine Binding Enhances Inhibition of Nav1.7 Channels by the Sulfonamide PF-05089771.,Mol Pharmacol,2020,False,,,0,1,closed access: please retrieve
37935051,PMC10994535,10.1093/brain/awad376,Targeted blockade of aberrant sodium current in a stem cell-derived neuron model of SCN3A encephalopathy.,Brain,2024,False,,,0,1,closed access: please retrieve
30518562,PMC6304959,10.1073/pnas.1814928115,Fenestrations control resting-state block of a voltage-gated sodium channel.,Proc Natl Acad Sci U S A,2018,False,,,0,1,closed access: please retrieve
31166240,PMC6586485,10.1097/aln.0000000000002753,Isoflurane Modulates Hippocampal Cornu Ammonis Pyramidal Neuron Excitability by Inhibition of Both Transient and Persistent Sodium Currents in Mice.,Anesthesiology,2019,False,,,0,1,closed access: please retrieve
34520724,PMC8673466,10.1016/j.cell.2021.08.021,Open-state structure and pore gating mechanism of the cardiac sodium channel.,Cell,2021,False,,,0,1,closed access: please retrieve
31012583,PMC6786914,10.1021/acs.jmedchem.8b01906,Challenges and Opportunities for Therapeutics Targeting the Voltage-Gated Sodium Channel Isoform Na<sub>V</sub>1.7.,J Med Chem,2019,False,,,0,1,closed access: please retrieve
31982332,,10.1016/j.jphs.2019.12.009,"Carvacrol inhibits the neuronal voltage-gated sodium channels Na<sub>v</sub>1.2, Na<sub>v</sub>1.6, Na<sub>v</sub>1.3, Na<sub>v</sub>1.7, and Na<sub>v</sub>1.8 expressed in Xenopus",J Pharmacol Sci,2020,False,,,0,1,closed access: please retrieve
29722437,PMC6016641,10.1111/bph.14348,The opioid oxycodone use-dependently inhibits the cardiac sodium channel Na<sub>V</sub> 1.5.,Br J Pharmacol,2018,False,,,0,1,closed access: please retrieve
29094728,PMC5888685,10.1038/aps.2017.151,Enhancing inactivation rather than reducing activation of Nav1.7 channels by a clinically effective analgesic CNV1014802.,Acta Pharmacol Sin,2018,False,,,0,1,closed access: please retrieve
38443186,PMC11044195,10.1523/jneurosci.1977-23.2024,Ndnf Interneuron Excitability Is Spared in a Mouse Model of Dravet Syndrome.,J Neurosci,2024,False,,,0,1,closed access: please retrieve
37142682,PMC10462648,10.1038/s41401-023-01084-9,"Naphthylisoquinoline alkaloids, a new structural template inhibitor of Nav1.7 sodium channel.",Acta Pharmacol Sin,2023,False,,,0,1,closed access: please retrieve
37746898,PMC10863845,10.1002/cbic.202300493,Trifunctional Saxitoxin Conjugates for Covalent Labeling of Voltage-Gated Sodium Channels.,Chembiochem,2023,False,,,0,1,closed access: please retrieve
