archived_from,archived_to,size_bytes,sha256,reason_archived
BrainSafe_AI_Publication/CITATION.cff,_ARCHIVE_2026-08-10/01_superseded_publication/CITATION.cff,669,64dc98747f9af87e548ca5047745b6dbe8446ed618caaebe50fe204af75e0838,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/README.md,_ARCHIVE_2026-08-10/01_superseded_publication/README.md,3859,b2d136ca2eefbe303d2c703a12754a2f886e3227e03a07e42fcf7ba99d72151f,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Figures/fig1_workflow.png,_ARCHIVE_2026-08-10/01_superseded_publication/Figures/fig1_workflow.png,232904,bcaf59590d16ef507c667ea7f5716e112aefacb4665cfdd247aac986d34e3798,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Figures/fig2_dataset.png,_ARCHIVE_2026-08-10/01_superseded_publication/Figures/fig2_dataset.png,140716,dc4bbe88221979fea82e27cda08b8dcd1fc72ed02d6df6f725c61734f775a1b6,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Figures/fig3_validation.png,_ARCHIVE_2026-08-10/01_superseded_publication/Figures/fig3_validation.png,96749,a335cd2aeb2da3c8d8e3c701a418e798952636f6b5cbeb1bb85a5b25ad36622b,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Figures/fig4_roc_calibration.png,_ARCHIVE_2026-08-10/01_superseded_publication/Figures/fig4_roc_calibration.png,362541,624de5fc5cb2f5030ee644d52ee6e9698f8a3323bb2d3000c580a3460b06d892,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Figures/fig5_conformal_comparison.png,_ARCHIVE_2026-08-10/01_superseded_publication/Figures/fig5_conformal_comparison.png,181772,be8334d901bea91b46b61a7fb36c85520e36d1054ad74c8233ea6be342f64d41,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Figures/fig6_benchmark.png,_ARCHIVE_2026-08-10/01_superseded_publication/Figures/fig6_benchmark.png,111474,265c3156a8d60f83518026833e4a67513812a683143b516d3922af0422c0ced0,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Figures/fig7_regression.png,_ARCHIVE_2026-08-10/01_superseded_publication/Figures/fig7_regression.png,1931480,ce79b00f41fd238cc61a00d37f6014f936f319f44459469d195d0612c06a6492,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Figures/fig8_generalisation.png,_ARCHIVE_2026-08-10/01_superseded_publication/Figures/fig8_generalisation.png,279529,8ea27afce78429ec7df346af088f8d0255f648d4cf0bef5073ef8d1733cff015,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Figures/graphical_abstract.png,_ARCHIVE_2026-08-10/01_superseded_publication/Figures/graphical_abstract.png,189453,0622ac9569c728fa8dde19078512b8fe221cf9da99b921825da555db97a7033f,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Manuscript/BrainSafe_AI_Manuscript.docx,_ARCHIVE_2026-08-10/01_superseded_publication/Manuscript/BrainSafe_AI_Manuscript.docx,3330379,24789739ac9911e8b4c891940017269a36d97ae87ebff34d051da91212459276,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Manuscript/BS_MANUSCRIPT_FINAL.md,_ARCHIVE_2026-08-10/01_superseded_publication/Manuscript/BS_MANUSCRIPT_FINAL.md,29604,becf0b1d7a76eac21e2d9dd34c770551ec327c51ad29956503f6d3a531c85133,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Presentation/BrainSafe_AI_Presentation.pptx,_ARCHIVE_2026-08-10/01_superseded_publication/Presentation/BrainSafe_AI_Presentation.pptx,91997,189d594b86a3a1d33d876730f4f14e8d47ac6298cefba20ed7893b3286898c7f,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Presentation/BrainSafe_AI_Supplementary.pptx,_ARCHIVE_2026-08-10/01_superseded_publication/Presentation/BrainSafe_AI_Supplementary.pptx,3104935,5721bcbad1b2f4c6d5e237d6e85ad336a3288150f61e771447e40ad898982d49,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Supplementary/Datasets/A2A.csv,_ARCHIVE_2026-08-10/01_superseded_publication/Supplementary/Datasets/A2A.csv,377657,e4060efeb28f28167949cafa544ae651ed468076638eae53eccf65c34534ee3d,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Supplementary/Datasets/AChE.csv,_ARCHIVE_2026-08-10/01_superseded_publication/Supplementary/Datasets/AChE.csv,299711,3053f3421bc5ecb33b3462e63371dc228ca106c2c22b9b8f8f0969eed58ac99b,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Supplementary/Datasets/antioxidant_dpph.csv,_ARCHIVE_2026-08-10/01_superseded_publication/Supplementary/Datasets/antioxidant_dpph.csv,223907,381096511c9a482fe13e5656b1b989a6e9bf4b4597b28067480670da0c6893bd,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Supplementary/Datasets/BACE1.csv,_ARCHIVE_2026-08-10/01_superseded_publication/Supplementary/Datasets/BACE1.csv,654091,54b605fed87cad552820b0ed64d3154a4183561031eb69e41cae6b83fa3349d5,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Supplementary/Datasets/BBB.csv,_ARCHIVE_2026-08-10/01_superseded_publication/Supplementary/Datasets/BBB.csv,480177,96edd060b4ab6ec3d096c80d5c7ec5018749e33d1efe1593e9d11a125cde302f,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Supplementary/Datasets/BChE.csv,_ARCHIVE_2026-08-10/01_superseded_publication/Supplementary/Datasets/BChE.csv,175441,7336f1024a5023fa78e0f9e72d0c9003ce0efdfee3422d825a9a2ee18a2bf8d6,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Supplementary/Datasets/clinical_cns_reference.csv,_ARCHIVE_2026-08-10/01_superseded_publication/Supplementary/Datasets/clinical_cns_reference.csv,38829,4d2b89f7238e15626994bde6595563aacc77fc37c1aa0126033b7129a784a518,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Supplementary/Datasets/D2.csv,_ARCHIVE_2026-08-10/01_superseded_publication/Supplementary/Datasets/D2.csv,527873,17101c6137869eef5a2dfafc805f0b8da84508e83ffabaa00fd6cf2dbec18791,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Supplementary/Datasets/GSK3B.csv,_ARCHIVE_2026-08-10/01_superseded_publication/Supplementary/Datasets/GSK3B.csv,267967,7260a0a1012a978afdfce52b2725378859498582fabfff6ae72a485a91fce15d,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Supplementary/Datasets/hERG.csv,_ARCHIVE_2026-08-10/01_superseded_publication/Supplementary/Datasets/hERG.csv,430740,a708b8f0010595171983bacf5478b7e32e2142f0e092a7ef085e3e5e20b6f102,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Supplementary/Datasets/HT2A.csv,_ARCHIVE_2026-08-10/01_superseded_publication/Supplementary/Datasets/HT2A.csv,336934,02952f25aece9adcedaa7681907d49b0944191a6db4fec3522e5250dc86ec3e7,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Supplementary/Datasets/MAO_A.csv,_ARCHIVE_2026-08-10/01_superseded_publication/Supplementary/Datasets/MAO_A.csv,123689,1321451cdf948065a3e600a464305a472e3f575ff226bae11bed83720b3682d7,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
BrainSafe_AI_Publication/Supplementary/Datasets/MAO_B.csv,_ARCHIVE_2026-08-10/01_superseded_publication/Supplementary/Datasets/MAO_B.csv,189130,9a5d88e361825158b44a7ab02f25e30a3115669208b5071fa6e7fcbf76cb14d6,"Publication bundle for the July manuscript, superseded by manuscript/NAR_WebServer_BrainSafe_built.md. Its Supplementary/Datasets CSVs share filenames with the live training tables but hold pre-BindingDB, pre-inactives snapshots, so leaving them in the tree invites them to be read as current training data."
