path,category,extension,size_kb,in_git
.dockerignore,"Root: application, build and project files",(none),0.1,yes
.gcloudignore,"Root: application, build and project files",(none),0.6,yes
.gitignore,"Root: application, build and project files",(none),2.5,yes
.streamlit/config.toml,"Root: application, build and project files",toml,0.9,yes
api.py,"Root: application, build and project files",py,9.0,yes
app.py,"Root: application, build and project files",py,167.4,yes
ARCHIVE_MANIFEST.csv,"Root: application, build and project files",csv,177.0,no
assets/sai_net_logo.png,Application assets,png,28.6,yes
assets/sssihl_logo.png,Application assets,png,76.0,yes
CITATION.cff,"Root: application, build and project files",cff,0.7,yes
data/_bindingdb_cache/A2A.json,"Root: application, build and project files",json,593.8,no
data/_bindingdb_cache/A2A_labelled.csv,"Root: application, build and project files",csv,365.7,no
data/_bindingdb_cache/AChE.json,"Root: application, build and project files",json,236.7,no
data/_bindingdb_cache/AChE_labelled.csv,"Root: application, build and project files",csv,145.0,no
data/_bindingdb_cache/BACE1.json,"Root: application, build and project files",json,916.8,no
data/_bindingdb_cache/BACE1_labelled.csv,"Root: application, build and project files",csv,466.7,no
data/_bindingdb_cache/BChE.json,"Root: application, build and project files",json,140.9,no
data/_bindingdb_cache/BChE_labelled.csv,"Root: application, build and project files",csv,89.6,no
data/_bindingdb_cache/D2.json,"Root: application, build and project files",json,778.6,no
data/_bindingdb_cache/D2_labelled.csv,"Root: application, build and project files",csv,372.8,no
data/_bindingdb_cache/GSK3B.json,"Root: application, build and project files",json,407.8,no
data/_bindingdb_cache/GSK3B_labelled.csv,"Root: application, build and project files",csv,242.6,no
data/_bindingdb_cache/hERG_labelled.csv,"Root: application, build and project files",csv,0.0,no
data/_bindingdb_cache/HT2A.json,"Root: application, build and project files",json,608.0,no
data/_bindingdb_cache/HT2A_labelled.csv,"Root: application, build and project files",csv,297.1,no
data/_bindingdb_cache/MAO_A.json,"Root: application, build and project files",json,62.9,no
data/_bindingdb_cache/MAO_A_labelled.csv,"Root: application, build and project files",csv,38.7,no
data/_bindingdb_cache/MAO_B.json,"Root: application, build and project files",json,161.7,no
data/_bindingdb_cache/MAO_B_labelled.csv,"Root: application, build and project files",csv,100.0,no
data/_bindingdb_cache/SERT.json,"Root: application, build and project files",json,339.0,no
data/_bindingdb_cache/SERT_labelled.csv,"Root: application, build and project files",csv,179.6,no
data/_chembl_cache/A2A_y.json,"Root: application, build and project files",json,850.8,no
data/_chembl_cache/AChE.json,"Root: application, build and project files",json,870.9,no
data/_chembl_cache/AChE_std.json,"Root: application, build and project files",json,899.0,no
data/_chembl_cache/AChE_y.json,"Root: application, build and project files",json,780.7,no
data/_chembl_cache/antioxidant_dpph_raw.json,"Root: application, build and project files",json,376.2,no
data/_chembl_cache/BACE1.json,"Root: application, build and project files",json,1440.6,no
data/_chembl_cache/BACE1_std.json,"Root: application, build and project files",json,1927.4,no
data/_chembl_cache/BACE1_y.json,"Root: application, build and project files",json,1703.6,no
data/_chembl_cache/BChE_std.json,"Root: application, build and project files",json,512.1,no
