inchikey,smiles,cid
KZFUMWVJJNDGAU-UHFFFAOYSA-N,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,100335
VQDRHZVLRCGSFX-UHFFFAOYSA-N,CCOC(=O)c1ccc2[nH]c(C)c(C)c2c1,612460
AELDAMOGYZQRRC-UHFFFAOYSA-N,Cc1c(C(=O)Nc2ccc(N3CCOCC3)cc2)oc2ccccc12,647689
TWHDANXBCWCHBY-UHFFFAOYSA-N,N#CC(=C1CCCC1)c1nc(-c2ccccc2O)cs1,649354
RGSXJCBSMXDJGZ-UHFFFAOYSA-N,COc1ccc(-c2cc3nc(-c4ccccc4)cc(N4CCC5(CC4)OCCO5)n3n2)cc1,650554
HRECINZTPLTEQH-UHFFFAOYSA-N,CN1C(=O)C2(N=c3ccccc3=N2)c2ccccc21,659228
OYYTYUQHNVLXFT-UHFFFAOYSA-N,COc1ccc(-c2nn3c(-c4ccccc4)nnc3s2)cc1,662977
HDCVYPKOQQHUOW-UHFFFAOYSA-N,C=CCn1c(SCC(=O)Nc2cc3oc4ccccc4c3cc2OC)nnc1-c1cnccn1,663049
DYXYXTDIFMDJIR-UHFFFAOYSA-N,CNc1oc(-c2cccc3ccccc23)nc1C#N,664510
FFEJFANQEWTRBW-UHFFFAOYSA-N,N#Cc1c(-c2cccs2)cc(-c2ccccn2)nc1N,665499
OXILYMAORVXQHT-OWTZWGKBSA-N,CC(=C/c1ccccc1)/C=C1/SC(N2CCOCC2)=NC1=O,682575
COYLEYRJZHTLTR-UHFFFAOYSA-N,Cc1nc2c(-c3ccccc3)c(C)nn2c(N)c1-c1ccccc1,684860
XZYBLTKBGVPSSO-UHFFFAOYSA-N,Cc1cc(C)n2nc(-c3cccc(Br)c3)cc2n1,686154
UHWVSUDPAPFTIL-UHFFFAOYSA-N,Nc1c(C(=O)c2ccc(Br)s2)oc2ccccc12,687093
PXKKBCJSETYFNQ-UHFFFAOYSA-N,O=C(NC(=S)Nc1nc(-c2ccccc2)cs1)c1ccco1,738234
ZDYVBANLKXRHDJ-UHFFFAOYSA-N,Oc1ccc(NC(=S)N=Nc2c(O)[nH]c3ccccc23)cc1,747570
LQOBCPWHDVTSJV-UHFFFAOYSA-N,CCOC(=O)c1c(C)nc2c3ccccc3ccn12,749132
RZIALXYIRNOGAQ-UHFFFAOYSA-N,Cc1nn(C)c(C)c1N=Cc1c(O)ccc2ccccc12,780497
XJQQBZIYKWJZDB-UHFFFAOYSA-N,CN(C)c1ccc(NC(=S)c2ccc3ccccc3n2)cc1,797253
XDHSYBVDZZESJO-UHFFFAOYSA-N,O=C(NC(=S)Nc1cccc2cccnc12)c1cccs1,803256
FAUHDDWHOPTTHL-UHFFFAOYSA-N,Cc1nc2ccc(-c3nc4ccccc4o3)cc2[nH]1,831984
ZWZJQNSDEXBTRV-UHFFFAOYSA-N,CN(C)c1ccc(-c2nnc(-c3cccs3)o2)cc1,865623
PUOFENAWFXNNIH-UHFFFAOYSA-N,Nn1c(-c2cccs2)nc2sc3c(c2c1=O)CCCC3,943152
RHZUDNCYNPRDGJ-UHFFFAOYSA-N,Cc1[nH]c2ccccc2c1C(=O)CSc1nc2ccccc2[nH]1,947342
KCBDFPPSMORIIJ-UHFFFAOYSA-N,CCN(CC)c1ccc(NC(=O)c2cc3ccccc3o2)c(C)c1,952835
KMHOUFSOQJOPJN-UHFFFAOYSA-N,Cc1cccc(NC(=O)NNC(=O)c2cc(-c3ccccc3Cl)nc3ccccc23)c1,1012499
JOYFHMJAXMRBJM-UHFFFAOYSA-N,COc1cc(OC)c(-c2nc3ccccc3s2)cc1OC,1087077
RMLJAQSENLLFPC-UHFFFAOYSA-N,O=c1c2ccccc2nc2c3ccccc3c(NCc3ccccn3)nn12,1186195
WLQLQOARHVMJPU-UHFFFAOYSA-N,Cc1cc(SCC(=O)c2ccc3c(c2)OCO3)nc2ccccc12,1228660
GXOHYVMGAJUGMV-UHFFFAOYSA-N,NS(=O)(=O)c1ccc(CNC(=O)c2cc(-c3ccccn3)nc3ccc(Cl)cc23)cc1,1261960
NDXOATUNXVCPTB-UHFFFAOYSA-N,Cc1ccc(-c2cc3nc(-c4ccccc4)cc(N4CCC5(CC4)OCCO5)n3n2)cc1,1441409
UGVJHWHYSYFWHY-UHFFFAOYSA-N,Cc1cccc(-c2cc3nc(-c4ccccc4)cc(N4CCC5(CC4)OCCO5)n3n2)c1,1441513
BNBJBKJMJONHSB-UHFFFAOYSA-N,Cc1ccccc1N(CC(=O)NC1CCCC1)C(=O)c1oc(C(C)(C)C)cc1C,1454979
IPKDJMFWSTXQLF-UKTHLTGXSA-N,CN(C)/C=C1/Oc2c(ccc3ccccc23)C1=O,1471594
FLFFUOCCWRXKSU-UHFFFAOYSA-N,Cc1ccc(C(=O)OCn2ncc(Cl)c(Cl)c2=O)cc1,1474465
LEFMWIRVZAQPMC-UHFFFAOYSA-N,Cc1nc2c(-c3ccc(Cl)cc3)cnn2c2c1CCC2,1477883
BONGLMPHHVQSIR-UHFFFAOYSA-N,Nc1nc(-c2sc3nc4c(cc3c2N)CCCC4)nc(N2CCOCC2)n1,1504905
WWDHGMDMNFLVLV-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(-c2cnc(SC(c3ccccc3)c3ccccc3)[nH]2)cc1,1517476
QGSISOQHGKBIQO-UHFFFAOYSA-N,COc1cccc(OP(=O)(Nc2ccccc2)Oc2cccc(OC)c2)c1,1588119
ZDOCDDUODADRCW-UHFFFAOYSA-N,CCn1c2ccccc2c2cc(NC(=O)c3cccc(OC)c3)ccc21,1717232
XSJVGJUQPNTJSP-UHFFFAOYSA-N,CCn1c2ccccc2c2cc(NC(=O)c3cc(OC)cc(OC)c3)ccc21,1719534
OTSSYHNUHICULA-UHFFFAOYSA-N,CCn1c2ccccc2c2cc(NC(=O)c3cccc(OC)c3OC)ccc21,1725739
OTKMWGHZDAZYAF-YVLHZVERSA-N,COc1ccc(/C=c2\sc3nc(-c4ccccc4OC)nn3c2=O)c(OC)c1,1827856
CDCFSINNCBTHAU-UHFFFAOYSA-N,O=C(OCC#CCSc1nc2ccccc2o1)c1cc2ccccc2o1,1888033
MVYAHKHKRGDCQD-LUAWRHEFSA-N,CCN1C(=O)/C(=C2/SC(C)=C(C)N2CC)SC1=S,1896271
NLLKBEGFXZYBFX-UHFFFAOYSA-N,CCOC(=O)c1ccc2[nH]c3ccccc3c2c1,1935506
AXMYICLOWJCRNN-UHFFFAOYSA-N,Cc1cnc(NC(=O)c2cc3c(C)nn(-c4ccccc4)c3s2)s1,2102506
HTWFLPBAXWPSKY-UHFFFAOYSA-N,Cc1noc(C)c1COc1ccc(C(=O)OCC(=O)N2CC(=O)Nc3ccccc32)cc1,2105000
DUUWHYWCCQNXKS-UHFFFAOYSA-N,CCSc1nnc(NC(=O)c2ccc3ccccc3n2)s1,2121796
MTCDQQWJRCDICU-UHFFFAOYSA-N,Cc1noc(C)c1COC(=O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,2124414
DSEPPZYBGDBBPB-UHFFFAOYSA-N,CCc1c(C)sc(NC(=S)Nc2nc(C)cc(C)n2)c1C(=O)OC,2207742
GHVNLWJHYZBHBO-UHFFFAOYSA-N,C=CCn1c(SCc2ccc(C(=O)Nc3nccs3)cc2)nnc1-c1ccc(C)c(Cl)c1,2212798
FZQRSOXVSAENKX-UHFFFAOYSA-N,CCn1c(SCC(=O)Nc2ccc3c(c2)c2ccccc2n3CC)nnc1-c1cnccn1,2218748
GMSMBWMTBLESFN-UHFFFAOYSA-N,Cc1ccc(C)c(NP(=O)(Oc2ccccc2)Oc2ccccc2)c1,2305273
MONVHZGSTTUKII-UHFFFAOYSA-N,O=C(N=Nc1c(O)[nH]c2ccccc12)c1cccc(S(=O)(=O)Nc2ccccc2Cl)c1,2327021
LFEWVFGQDZKNAT-UHFFFAOYSA-N,O=C(CSc1ccc(Br)c2cccc(Cl)c12)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,2351884
WBTCERKLDKQMFI-UHFFFAOYSA-N,Cc1ccnc2ccc(-c3nc4ccccc4o3)cc12,2421435
OPKQYOFSHKVQFK-UHFFFAOYSA-N,Cc1c(C(=O)OCC(=O)NCCN2C(=O)CSC2=O)oc2c1ccc1ccccc12,2478417
XPXALAIYTFJSFZ-UHFFFAOYSA-N,O=C(OCc1cc(=O)n2c(n1)sc1ccccc12)c1cccc(O)c1,2549470
OZZZSNYSAXZKLG-UHFFFAOYSA-N,Cc1cnc(NC(=O)c2ccc(-c3nc4ccccc4s3)o2)s1,2555366
PHAJRNLHWLJQLC-UHFFFAOYSA-N,O=C(O)CCn1c(SCCOc2ccccc2)nc2ccccc21,2772722
FOCAKYCVXWBREO-UHFFFAOYSA-N,Cc1cccc(OCCSc2nc3ccccc3n2CCC(=O)O)c1,2772726
WGJKWEIOYXFSSO-UHFFFAOYSA-N,Cc1ccc(C)n1-c1nn(S(=O)(=O)c2cccc3cccnc23)c2cccc(F)c12,2809938
HBHHOFOOVLKNGC-UHFFFAOYSA-N,c1ccc(N2CCN(c3ncnc4c3oc3ccccc34)CC2)cc1,2877644
QGRXOHRCNSDPFV-UHFFFAOYSA-N,CCOc1ccccc1C(=O)NCCCCNC(=O)c1ccccc1OCC,2931287
SIKAQJWIVMKATA-UHFFFAOYSA-N,CC(NS(=O)(=O)c1ccc(OCC(=O)Nc2cccc([N+](=O)[O-])c2)cc1)c1ccccc1,2942839
AKUDASUHMBZVPZ-UHFFFAOYSA-N,O=C(OC1CCOC1=O)c1ccc(-c2nc3ccccc3s2)s1,2997660
BHRZLQXUNCBBJD-SEYXRHQNSA-N,N#C/C(=C1\CCCN1)c1nc(-c2ccccc2)cs1,2998560
HFKBYHDNFZKCMU-UHFFFAOYSA-N,CCSC1=C(C#N)C(c2ccccc2Cl)C(C(=O)c2cccs2)C(O)(C(F)(F)F)N1,3128167
NGWHSQAGOZMKNL-UHFFFAOYSA-N,C=CCSC1=C(C#N)C(c2ccccc2Cl)C(C(=O)c2cccs2)C(O)(C(F)(F)F)N1,3130913
JBVMLMHPHCOLAG-UHFFFAOYSA-N,N#CCSc1nc(-c2ccccc2)nc2ccccc12,3141919
